#	fake data generated by Gemini
Station_ID;Location;Atmospheric Conditions;Temperature(C)
STN_186;Hong Kong;Coastal, Smog;27.3
STN_187;Shanghai;East China Sea, Humid;26.1
STN_188;Seoul;Yellow Dust, Seasonal;22.8
STN_189;Sapporo;Northern, Snowy;12.4
STN_190;Osaka;Bay, Urban Heat;29.5
STN_191;Perth;Swan River, Dry;26.8
STN_192;Brisbane;Subtropical, Moist;24.2
STN_193;Adelaide;Gulf St Vincent, Arid;22.5
STN_194;Melbourne;Port Phillip, Windy;19.1
STN_195;Hobart;Southern, Cool;14.8
STN_196;Canberra;Tablelands, Dry;20.3
STN_197;Wellington;Cook Strait, Gale;15.2
STN_198;Christchurch;Canterbury, Dry;16.4
STN_199;Suva;Pacific, Rain;28.1
STN_200;Port Moresby;Coral Sea, Tropical;30.4
